train_sub\0119_3img2041_s001.JPG train_labels_sub\0119_3img2041_s001.png
train_sub\001341_s009.JPG train_labels_sub\001341_s009.png
train_sub\0119_3img2041_s012.JPG train_labels_sub\0119_3img2041_s012.png
train_sub\000321_s007.JPG train_labels_sub\000321_s007.png
train_sub\DJI_0431_heda_s003.JPG train_labels_sub\DJI_0431_heda_s003.png
train_sub\0119_4img1011_s009.JPG train_labels_sub\0119_4img1011_s009.png
train_sub\000221_s001.JPG train_labels_sub\000221_s001.png
train_sub\DJI_0431_heda_s001.JPG train_labels_sub\DJI_0431_heda_s001.png
train_sub\DJI_0409_heda_s011.JPG train_labels_sub\DJI_0409_heda_s011.png
train_sub\001241_s009.JPG train_labels_sub\001241_s009.png
train_sub\001301_s009.JPG train_labels_sub\001301_s009.png
train_sub\001201_s002.JPG train_labels_sub\001201_s002.png
train_sub\DJI_0613_s012.JPG train_labels_sub\DJI_0613_s012.png
train_sub\DJI_0379_s006.JPG train_labels_sub\DJI_0379_s006.png
train_sub\DJI_00554_s010.JPG train_labels_sub\DJI_00554_s010.png
train_sub\DJI_0496_s004.JPG train_labels_sub\DJI_0496_s004.png
train_sub\0119_3img2021_s004.JPG train_labels_sub\0119_3img2021_s004.png
train_sub\DJI_00554_s009.JPG train_labels_sub\DJI_00554_s009.png
train_sub\0119_5img2011_s010.JPG train_labels_sub\0119_5img2011_s010.png
train_sub\DJI_0002_s006.JPG train_labels_sub\DJI_0002_s006.png
train_sub\DJI_0309_s010.JPG train_labels_sub\DJI_0309_s010.png
train_sub\DJI_0322_s012.JPG train_labels_sub\DJI_0322_s012.png
train_sub\000341_s001.JPG train_labels_sub\000341_s001.png
train_sub\DJI_0421_s006.JPG train_labels_sub\DJI_0421_s006.png
train_sub\DJI_0514_s011.JPG train_labels_sub\DJI_0514_s011.png
train_sub\DJI_00571_s010.JPG train_labels_sub\DJI_00571_s010.png
train_sub\DJI_00587_s005.JPG train_labels_sub\DJI_00587_s005.png
